Symbol,Current Price
AAPL,248.1300048828125
TSLA,436.2300109863281
AMZN,227.4600067138672
MSFT,447.2699890136719
GOOGL,189.82000732421875
META,620.3499755859375
NFLX,918.8699951171875
NVDA,134.25
BABA,87.81999969482422
DIS,113.33999633789062
