Stock,Initial Price,Current Price,Quantity,Initial Value,Current Value,Percentage Change
AAPL,216.082275390625,248.1300048828125,10,2160.82275390625,2481.300048828125,14.831262506030576
TSLA,226.77999877929688,436.2300109863281,5,1133.8999938964844,2181.1500549316406,92.35823852828784
AMZN,184.88999938964844,227.4600067138672,8,1479.1199951171875,1819.6800537109375,23.02450509208133
MSFT,430.4783325195313,447.2699890136719,15,6457.17498779297,6709.049835205078,3.900697253648349
